Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200
I,7680,8160,7880,8520,7720,8400,8120,8640,8720,8720,8160,8280,8320,7520,8120,8440,8480,8040,8080,8320,7640,8000,29240,30520,,,,
J,7360,7560,7760,8200,7880,8240,7240,8640,8880,8120,8360,8600,8360,8600,8320,7880,8280,7960,10960,7880,6880,7680,28960,27360,,,,
K,7160,7960,8400,8360,8920,8760,9480,8440,9040,8400,8640,8680,8480,8680,8200,8640,8760,7960,7920,8120,7240,8120,29520,29680,,,,
L,7440,7560,8320,8200,8280,8440,8800,8120,8600,8560,9240,9200,8360,8240,8320,8880,8200,8120,8040,7480,8040,7600,31440,29640,,,,
M,6920,7800,7800,8000,7920,7760,8560,8160,8080,8880,8840,8680,8760,7640,8760,8560,8160,7800,7840,8160,7040,8200,32360,30480,,,,
N,6960,7760,7280,7000,7800,8160,8440,8080,8600,8440,8080,8000,7800,8320,8200,8200,7880,7920,8360,6880,7520,7720,28720,32320,,,,
O,6800,7480,7280,7320,8160,7360,8000,8240,7680,7920,7760,8960,7560,8160,8120,7200,7920,8120,7480,7840,7400,7400,30600,31400,,,,
P,7320,7320,6640,7560,7040,7360,7560,7640,7280,7960,7200,7680,7760,8280,8280,8040,7440,7400,7320,7040,7200,7480,31880,31680,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
9,1,H2060266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
9,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
B,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
C,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
D,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
E,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
F,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
G,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
H,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
I,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
J,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
K,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
L,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
M,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
N,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
O,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
P,0.522012836,0.522012836,,,,,,,,,,,,,,,,,,,,,0.522012836,0.522012836,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
9,1,H2060266,14.01,17.62,17.52,41.8,41.7,17.92,17.92,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
9,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,7000,7280,7440,8160,7520,7840,8160,7480,7800,8640,8640,7680,7800,7880,8040,7640,8160,6960,7480,7320,7320,7160,27160,28080,,,,
B,7320,7240,7720,7160,8120,7680,8080,8560,7960,7640,7840,8080,8240,7960,8200,7840,7800,8200,7160,7400,6960,7080,22720,24800,,,,
C,7320,7000,7840,7960,7280,7880,8280,8240,8280,8000,8280,8000,8600,6560,7920,8080,7440,7640,6920,7280,6840,7320,22880,25560,,,,
D,7080,6960,7680,7080,8120,8040,7960,8240,8280,8320,8120,7920,8440,8320,8480,8280,8360,7720,7160,5440,7520,7560,22520,23240,,,,
E,8800,8320,8600,9000,8760,8840,9280,9240,10040,9560,9520,9240,9560,9520,9280,9280,8960,8760,8960,8400,8400,8120,28040,27840,,,,
F,7840,8720,8680,8960,9760,8560,9920,8600,8880,9840,9360,9560,9520,9480,9400,9200,8960,9280,9160,9240,8040,8640,24120,26760,,,,
G,7440,7840,8040,8320,8920,9280,9800,8760,9640,8840,9320,8040,8400,8920,8720,8760,9120,8640,8480,8040,7960,7960,25960,26560,,,,
H,7440,8240,8200,8640,8520,8680,7920,9480,9360,9600,8880,9400,8520,20720,8920,9160,8640,9120,8400,8520,7840,8080,24160,25640,,,,
I,7560,7600,7520,8240,8360,8200,8800,9400,9040,8600,8680,8720,8520,9000,8880,9040,8640,7720,8120,8320,7880,7720,26760,24760,,,,
J,6760,7760,7520,7800,8120,8240,8400,9400,8600,8920,8560,9120,7960,8360,7960,8600,8600,8280,7640,7080,7840,7520,23320,25280,,,,
K,7760,7800,8480,8320,8560,8280,9040,8440,8800,8720,8680,8720,8240,9880,7800,9280,8880,8680,8360,7160,7800,8280,25200,28720,,,,
L,7200,7680,8160,7600,8280,8440,8880,8680,8840,8600,8920,8920,8520,8560,9120,8800,8440,8240,8120,8600,7960,7680,26200,26800,,,,
M,7160,7360,8280,9320,8520,8040,8360,8880,8680,8280,8800,8600,8720,8760,8720,8680,8240,7720,8320,7520,7680,8360,25960,31800,,,,
N,6560,7560,7240,8040,8040,7680,8160,8520,8440,8240,8600,8120,7680,8240,8600,8120,8080,7880,7840,7880,7840,7720,25440,29160,,,,
O,6800,7840,7120,7680,7880,7840,8160,7960,8440,8320,8120,8160,8040,8720,8400,7560,8040,8040,7760,7560,7600,7440,29360,29840,,,,
P,6480,7720,7320,7560,8280,7480,8440,7520,8200,7720,7800,8240,7800,7800,8000,7240,7400,8040,7920,7640,7760,7800,30920,30400,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
10,1,H2060268,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:02,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
10,Jez US LUM 384 (cps),0,4,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
B,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
C,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
D,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
E,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
F,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
G,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
H,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
I,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
J,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
K,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
L,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
M,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
N,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
O,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
P,0.560531851,0.560531851,,,,,,,,,,,,,,,,,,,,,0.560531851,0.560531851,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
10,1,H2060268,14.01,17.52,17.52,41.7,40.9,17.92,17.82,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:02,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
10,Jez US LUM 384 (cps),0,4,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,6560,6720,7320,7560,7400,7840,7360,6960,7520,7320,7720,7280,7400,7600,7600,7680,7400,7520,7120,6520,7000,6600,28520,27160,,,,
B,6960,6560,6800,7640,7680,7400,7120,8040,7720,7040,7520,6960,7960,7080,6960,7040,7040,7160,7600,7280,7040,6960,24120,24000,,,,
C,7200,6720,6920,7480,7760,7920,7520,7600,8080,7920,7680,6160,8480,7480,7000,7760,7160,7000,7080,6520,7000,7280,23320,24480,,,,
D,6760,7120,8080,7320,7280,7560,7480,7920,8120,7840,7960,8400,7560,7960,7680,7680,7160,7120,7200,7640,7440,7520,24480,24360,,,,
E,8400,8000,8400,8240,8680,8240,8480,8320,8560,8360,9640,8520,9560,8480,8480,9560,8560,7440,8640,7960,8040,8280,26480,28360,,,,
F,8360,8200,8240,8120,9560,8880,8520,8960,8400,9520,9680,9240,8920,9080,9640,8680,8640,9000,8480,8320,7960,7520,27160,26920,,,,
G,7720,6960,8000,8160,7680,8560,8240,8320,8480,8760,8760,8880,9000,8120,8800,8400,8120,8320,7760,7800,8720,8040,26800,25760,,,,
H,6800,7200,8000,7800,8120,8400,8520,9160,9040,8920,10000,9200,9000,7880,9080,8320,8840,8360,8280,8000,7400,7880,27520,27800,,,,
I,7240,7280,7800,8000,7840,7800,8600,8120,8120,7440,9160,8560,8280,8200,8480,8320,8840,8120,8000,7560,7640,7440,28640,27520,,,,
J,7160,7160,7440,7480,8160,7920,7840,8920,8400,8320,9560,8040,8520,8000,8120,8240,8240,8200,7640,7480,7920,7520,28080,26480,,,,
K,7640,7200,7320,8520,7720,8840,8680,8000,8680,8000,8760,7400,8760,8160,8360,8360,8240,8040,7600,9400,7840,6840,28680,28120,,,,
L,6920,7120,7520,8160,7920,8000,8240,8800,8920,8440,8560,8160,8160,8200,8320,7880,7640,8600,8720,7400,7680,7640,28880,29480,,,,
M,7600,6920,7840,8000,8040,7760,7960,7920,8120,8360,8400,7960,8240,8160,8280,8800,7480,8040,8160,7320,7680,7560,31760,30760,,,,
N,7200,7520,7760,7880,8360,8120,7680,8240,7600,7920,7960,7960,8320,8120,7840,7120,7880,8520,7480,7360,7640,8040,30080,31000,,,,
O,7280,7200,7080,7840,6960,7600,7960,8160,7800,7760,8320,8040,7480,8200,7400,7880,7640,8080,7680,7520,7840,7680,30920,30000,,,,
P,6680,7360,7160,7280,7240,7160,7560,7360,7360,7560,7440,7520,7440,7440,8280,7680,7720,8120,7760,8000,7480,7680,33040,32240,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
11,1,H2060270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:04,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
11,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
B,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
C,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
D,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
E,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
F,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
G,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
H,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
I,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
J,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
K,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
L,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
M,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
N,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
O,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
P,0.67351421,0.67351421,,,,,,,,,,,,,,,,,,,,,0.67351421,0.67351421,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
11,1,H2060270,14.01,17.51,17.52,40.7,40.3,17.9,17.92,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:04,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
11,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,7360,6800,7480,7440,7360,8000,7520,7800,8080,7880,8560,8560,8160,7840,7920,7560,6880,8120,7480,7120,6920,7280,29240,26520,,,,
B,7160,7040,7480,7440,7200,8160,7800,7360,8000,10120,8360,7960,8120,8200,7120,7320,7480,7400,8400,7760,7040,7200,28360,27600,,,,
C,6760,7720,7680,8200,7480,7560,8360,7680,8200,8640,8320,7920,8040,8240,8280,6720,8080,7680,7320,6680,7240,7200,27680,25320,,,,
D,7560,7600,8160,8800,7680,8360,7680,8240,9120,8160,8680,8360,8960,8480,8600,8200,8360,9400,8280,7560,7560,8160,34120,27880,,,,
E,8160,7880,8720,9000,8640,9480,9680,9560,9080,10560,9640,9560,9240,9600,9200,9720,8920,9560,8880,8920,8680,8040,33640,30040,,,,
F,8320,8160,8800,8480,9160,9400,9760,9600,9440,9640,9840,9680,9760,9040,9480,9920,9320,9600,8520,9880,8920,8320,32200,31160,,,,
G,7080,7720,8760,9240,9280,8560,8920,9480,8920,9160,8960,9200,9040,8480,9120,8560,8480,8840,8280,8880,8440,8680,30360,29480,,,,
H,7640,7640,8640,8640,8680,8520,9280,9120,9560,8960,9920,9160,9240,9200,9240,9280,8840,8520,8600,8720,9160,8080,30440,29240,,,,
I,7680,7560,7320,8320,8560,8360,8240,10440,8880,8800,8160,8560,8840,8920,9360,8360,12800,8040,8200,8520,8200,7720,29600,29080,,,,
J,7840,7600,7480,8240,7880,8360,8360,8120,8320,8920,8880,8200,9080,8720,8600,8960,8880,7840,8960,7800,8640,7560,30400,28920,,,,
K,7720,7120,8520,8640,8560,8080,7040,9360,9280,8080,9160,8120,8720,9760,8760,8560,8440,8080,8680,7560,8400,8160,30880,29200,,,,
L,7800,7480,7880,8240,8160,8600,8240,8800,9080,8320,8920,8920,8960,8840,8520,8200,8680,8440,8000,8680,8320,8000,31280,28680,,,,
M,7640,6720,8040,7960,7880,8560,8600,9040,8280,8600,9280,8400,8920,7880,7920,8720,7880,8320,8320,8600,8040,8080,30400,29480,,,,
N,6680,6960,7120,7800,8040,8280,7960,8280,8840,7680,8800,7640,8600,8560,8800,7960,7520,8160,7120,7680,8240,7840,32360,29480,,,,
O,6920,7480,7720,7400,7880,7720,7840,8400,8000,8360,8560,7960,8640,8280,7880,7760,8160,11360,8040,8920,7920,7600,31120,30760,,,,
P,6640,6960,7400,7400,7440,8120,7480,7960,7920,7600,7880,8080,7800,7840,8480,7920,7480,7840,7760,7760,7680,7400,33960,31520,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
12,1,H2060272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:06,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
12,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
B,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
C,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
D,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
E,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
F,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
G,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
H,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
I,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
J,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
K,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
L,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
M,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
N,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
O,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
P,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
12,1,H2060272,14.01,17.52,17.62,40.3,40,17.92,17.82,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:06,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
12,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,7040,6960,7200,7800,7760,7280,7680,8280,8440,8680,8280,8320,8960,8360,8200,8120,8080,7800,7360,7720,7120,7280,29320,27760,,,,
B,7760,7880,7480,7840,8080,7080,7720,8320,8800,11080,8040,8400,8440,9280,9280,8120,8200,8320,8240,8000,7960,7960,27360,28520,,,,
C,7240,7400,7160,8200,8000,8440,8800,8040,8640,8680,8280,8840,8280,8600,8600,8640,8120,8960,7560,8440,7080,7800,27640,29200,,,,
D,7800,7600,7480,8200,8080,8000,8360,8080,9000,8720,8480,9160,8560,9400,9120,7800,9000,8680,8080,7640,8000,8320,27880,31120,,,,
E,8440,8800,9000,8760,8760,9080,8960,9640,10400,9600,10080,10080,10080,9920,10720,9040,9760,9840,9120,9520,9600,8800,30920,35880,,,,
F,8080,8320,9280,9400,9320,9720,9200,10120,10160,10480,10520,10000,9840,10800,10160,10440,8840,9560,9360,9200,8680,8600,32680,36440,,,,
G,7880,7880,8800,9080,9120,9360,9520,9760,9360,10000,9520,9760,9800,9400,10320,8960,8480,9160,9120,8360,8400,8720,30040,33320,,,,
H,8040,7680,8000,8880,7920,9400,9400,9880,9680,9760,10240,10120,9240,10120,9520,9960,9240,9320,9640,8320,8320,8560,32240,33160,,,,
I,7640,8360,9200,8400,9040,8840,9360,9560,9360,9960,8920,9640,9200,9680,9720,9400,8680,9480,7840,8680,8640,8240,32360,31560,,,,
J,7640,7880,8000,8200,8720,8600,8400,8800,9840,9120,9160,10320,9400,9160,9600,7760,9080,8840,7480,7960,8200,8160,32680,32440,,,,
K,8200,8440,8320,8120,8760,9400,9280,9440,9880,9600,8720,10040,10040,9440,9240,8920,9360,8920,8800,8440,8360,8800,34480,34040,,,,
