Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
51,51,P,6600,7080,7000,7560,6960,7520,7360,7960,7680,7240,7880,7440,7040,7160,7040,7440,7160,7800,6720,6880,7360,7040,29720,26880,,,,7200.0
52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840.0
53,53,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7760.0
54,54,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7080.0
55,55,2,1,H2061372,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:50,,,,,,,,,,,,,,,,,7440.0
56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200.0
57,57,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7120.0
58,58,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,8560.0
59,59,2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,7720.0
60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.0
61,61,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0
62,62,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7840.0
63,63,A,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7360.0
64,64,B,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400.0
65,65,C,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,6920.0
66,66,D,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7880.0
67,67,E,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7080.0
68,68,F,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7440.0
