Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
1,1,"=""H2060640""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,1/6/2023 8:31:37 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Jez US LUM 384 (cps),0,32,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
M,19232,20672,21024,26768,22736,21696,32448,20368,22112,22288,20528,21760,22128,23856,26816,25456,28000,26112,24640,26784,33312,22880,298608,260544,
N,19296,19168,20672,22432,21472,22432,18624,23376,21072,23840,23360,22944,21408,5152,21088,24544,22592,26144,22656,28640,21776,25440,319232,256912,
O,19264,18880,18912,21360,20432,20304,20448,19696,20352,21856,21680,25072,23584,21840,21264,25744,26640,20928,27200,28256,24080,29808,295584,273376,
P,16992,17856,18864,18320,16704,18816,17808,18688,19216,18688,18160,18768,19168,19360,19552,22320,20304,23936,24480,24128,29792,35280,302160,267536,

Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
4,1,"=""H2060634""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,1/6/2023 8:39:23 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
4,Jez US LUM 384 (cps),0,52,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
B,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
C,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
D,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
E,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
F,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
G,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
H,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
I,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
J,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
K,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
L,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
M,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
N,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
O,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,
P,0.5422757946,0.5422757946,,,,,,,,,,,,,,,,,,,,,0.5422757946,0.5422757946,

Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
4,1,"=""H2060634""",14.01,17.41,17.82,52.4,51.9,18,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,1/6/2023 8:39:23 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
4,Jez US LUM 384 (cps),0,52,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,14976,17184,16112,17760,16448,16480,16240,16592,16576,17056,17248,17632,17936,17776,17616,17344,15920,15248,17216,15536,16464,16464,283312,240416,
B,16848,17808,18144,18480,18864,17648,18224,17824,18144,19728,17776,19280,17968,20016,15760,18288,17248,17968,17216,17184,15120,46112,308976,230576,
C,17744,19264,20304,19328,18800,19008,10352,18224,19392,16928,18704,17952,18928,19648,18864,7552,18656,17872,17616,16944,16544,9040,275392,226768,
D,19056,19296,19904,18832,21984,19120,5680,18640,18672,18832,18896,19152,17600,19168,18896,18832,18576,17424,17040,8064,16128,18320,291072,215104,
E,19568,21616,21568,23456,22560,20832,21264,20320,22000,21600,19504,20496,20464,18512,19088,20304,20592,18624,18144,18032,17344,19088,315520,242240,
F,22432,28784,21968,20096,21584,20480,20928,26448,19952,20752,20464,20352,19808,20448,21104,20512,25424,18096,18544,19152,17296,19600,317136,247600,
G,23808,19728,23856,21984,19216,22560,25600,26112,21440,21392,22672,20912,20704,20544,21104,20640,19776,19264,17584,17808,13232,17696,268912,227088,
H,20304,23440,25440,21984,22128,18976,21904,23936,21504,21824,21584,22816,21040,22128,20672,19488,16976,18736,16592,20720,20080,19152,293392,215952,
I,24752,22496,25712,27632,26976,22784,23728,17952,20960,20928,21056,23632,20192,20592,22400,20576,22384,19568,20080,19056,18160,16608,249696,219888,
J,25920,23488,29760,25632,24800,20016,20688,21984,22176,44048,24816,22448,22144,22224,20048,19120,19904,21584,18672,20928,17856,17104,275072,215488,
K,32848,22624,32496,31520,22480,21888,21088,23936,19440,24448,32736,44704,23680,24784,5696,20320,22976,20320,21216,19104,26448,19248,237632,219664,
L,26576,25616,26608,21088,21248,20400,31312,26608,21728,29120,20608,22448,20752,19184,24288,21408,29808,32960,21296,32064,20608,22352,246528,217776,
M,29072,30224,32720,31216,38784,3520,35072,31808,29120,25584,28560,27008,24432,26512,28848,24080,24448,20656,24192,24640,29392,23936,253760,246704,
N,32864,34800,26912,34992,29888,32112,16688,24064,33776,25056,25520,26384,18816,28416,28880,28352,24464,36640,19136,9120,24304,23888,281168,244992,
O,27424,29392,19392,26256,35312,40064,33680,36576,31264,33968,34832,38112,35104,27872,8240,26656,39296,26960,31344,34928,23488,29056,261168,259344,
P,30848,29776,36592,34992,31616,31952,33280,30896,34336,34976,34976,30736,31328,30528,29568,33632,28160,27472,37568,35808,30496,24768,260736,251392,

Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
5,1,"=""H2060632""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,1/6/2023 8:41:58 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
5,Jez US LUM 384 (cps),0,44,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,0.60498271151,0.60498271151,,,,,,,,,,,,,,,,,,,,,0.60498271151,0.60498271151,
B,0.60498271151,0.60498271151,,,,,,,,,,,,,,,,,,,,,0.60498271151,0.60498271151,
C,0.60498271151,0.60498271151,,,,,,,,,,,,,,,,,,,,,0.60498271151,0.60498271151,
D,0.60498271151,0.60498271151,,,,,,,,,,,,,,,,,,,,,0.60498271151,0.60498271151,
E,0.60498271151,0.60498271151,,,,,,,,,,,,,,,,,,,,,0.60498271151,0.60498271151,
