index,z-score
N1,-0.147970893571364
N2,-0.19047440790087275
N3,-0.11821843354070789
N4,-0.1862240564679219
N5,-0.147970893571364
N6,-0.1415953664219377
N7,-0.1585967721537412
N8,-0.14584571785488856
N9,-0.1330946635560359
N10,-0.17347300216906925
N11,-0.15009606928783942
N12,-0.17347300216906925
N13,-0.1649722993031675
N14,-0.16709747501964295
N15,-0.147970893571364
N16,-0.16284712358669207
N17,-0.15222124500431486
N18,-0.15222124500431486
N19,-0.13734501498898685
N20,-0.12459396069013419
N21,-0.22447721936447973
N22,-0.1713478264525938
N23,-0.1415953664219377
N24,16.254135286186063
O1,-0.15009606928783942
O2,-0.16284712358669207
O3,-0.1713478264525938
O4,-0.13521983927251136
O5,-0.16709747501964295
O6,-0.12034360925718333
O7,-0.15222124500431486
O8,-0.07571491921119915
O9,-0.14372054213841315
O10,-0.1543464207207903
O11,-0.14372054213841315
O12,-0.15009606928783942
O13,-0.1543464207207903
O14,-0.12884431212308506
O15,-0.1649722993031675
O16,-0.12246878497365876
O17,-0.1415953664219377
O18,-0.15222124500431486
O19,-0.16284712358669207
O20,-0.13947019070546227
O21,-0.17559817788554466
O22,-0.16709747501964295
O23,-0.45187102102735155
O24,3.1503018183985145
P1,-0.12034360925718333
P2,-0.15009606928783942
P3,-0.181973705034971
P4,-0.17347300216906925
P5,-0.12671913640660962
P6,-0.1649722993031675
P7,-0.1309694878395605
P8,-0.16709747501964295
P9,-0.147970893571364
P10,-0.17559817788554466
P11,-0.16709747501964295
P12,-0.1543464207207903
P13,-0.147970893571364
P14,-0.16072194787021665
P15,-0.12884431212308506
P16,-0.1713478264525938
P17,-0.16072194787021665
P18,-0.1649722993031675
P19,-0.147970893571364
P20,-0.16922265073611836
P21,-0.15222124500431486
P22,-0.19684993505029905
P23,-0.4667472510426796
P24,2.718891147954001
A1,-0.10759255495833069
A2,-0.13947019070546227
A3,-0.12671913640660962
A4,-0.12034360925718333
A5,-0.09059114922652717
A6,-0.12034360925718333
A7,-0.13521983927251136
A8,-0.12459396069013419
A9,-0.10546737924185524
A10,-0.11396808210775698
A11,-0.09696667637595352
A12,-0.16922265073611836
A13,-0.1309694878395605
A14,-0.16284712358669207
A15,-0.10334220352537982
A16,-0.1713478264525938
A17,-0.1415953664219377
A18,-0.14372054213841315
A19,-0.13734501498898685
A20,-0.15009606928783942
A21,-0.13521983927251136
A22,-0.18409888075144645
A23,-0.4603717238932533
A24,1.8029404141530876
B1,-0.11396808210775698
B2,-0.10121702780890439
B3,-0.11184290639128154
B4,-0.11609325782423247
B5,-0.147970893571364
B6,-0.12034360925718333
B7,-0.14584571785488856
B8,-0.12884431212308506
B9,-0.12671913640660962
B10,-0.12246878497365876
B11,-0.1649722993031675
B12,-0.10759255495833069
B13,-0.12884431212308506
B14,-0.12459396069013419
B15,-0.10121702780890439
B16,-0.10971773067480611
B17,-0.13947019070546227
B18,-0.14584571785488856
B19,-0.14372054213841315
B20,-0.1330946635560359
B21,-0.13521983927251136
B22,-0.12246878497365876
B23,-0.468872426759155
B24,2.536126036337113
C1,-0.10759255495833069
C2,-0.11609325782423247
C3,-0.13734501498898685
C4,-0.12671913640660962
C5,-0.13734501498898685
C6,-0.12884431212308506
C7,-0.0693393920617728
C8,-0.15009606928783942
C9,-0.09909185209242895
C10,-0.12671913640660962
C11,-0.1543464207207903
C12,-0.14584571785488856
C13,-0.1415953664219377
C14,-0.1330946635560359
C15,-0.10334220352537982
C16,-0.15647159643726571
C17,-0.12459396069013419
C18,-0.13521983927251136
C19,-0.13521983927251136
C20,-0.13521983927251136
C21,-0.147970893571364
C22,-0.14584571785488856
C23,-0.468872426759155
C24,2.251352490329405
D1,-0.12884431212308506
D2,-0.13947019070546227
D3,-0.14584571785488856
D4,-0.14372054213841315
D5,-0.13947019070546227
D6,-0.13521983927251136
D7,-0.15009606928783942
