,Plate information ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,7200
97,H,0.05527638190954774,0.08542713567839195,0.10720268006700168,0.11390284757118928,0.11222780569514237,0.1574539363484087,0.10385259631490787,0.1306532663316583,0.12897822445561138,0.1273031825795645,0.1390284757118928,0.1373534338358459,0.11892797319932999,0.1440536013400335,0.11222780569514237,0.11725293132328309,0.11055276381909548,0.10887772194304858,0.11222780569514237,0.07537688442211055,0.08542713567839195,0.048576214405360134,0.6834170854271356,1.0,,,,7360.0
98,I,0.051926298157453935,0.06700167504187604,0.08710217755443886,0.09547738693467336,0.07370184254606366,0.09547738693467336,0.12562814070351758,0.10217755443886097,0.12395309882747069,0.10552763819095477,0.11055276381909548,0.1273031825795645,0.10385259631490787,0.09380234505862646,0.11055276381909548,0.10050251256281408,0.11390284757118928,0.09882747068676717,0.08375209380234507,0.08375209380234507,0.06867671691792294,0.07537688442211055,0.7554438860971524,0.7705192629815746,,,,7240.0
99,J,0.048576214405360134,0.06197654941373534,0.07537688442211055,0.10552763819095477,0.08877721943048576,0.09715242881072027,0.12395309882747069,0.10217755443886097,0.12395309882747069,0.10552763819095477,0.09380234505862646,0.07202680067001675,0.09212730318257957,0.03685092127303183,0.09882747068676717,0.11055276381909548,0.09882747068676717,0.08040201005025126,0.07202680067001675,0.07202680067001675,0.08040201005025126,0.051926298157453935,0.7654941373534339,0.8391959798994975,,,,7680.0
100,K,0.05360134003350084,0.07537688442211055,0.06365159128978225,0.10217755443886097,0.12562814070351758,0.09380234505862646,0.12060301507537688,0.09715242881072027,0.135678391959799,0.13400335008375208,0.1323283082077052,0.12897822445561138,0.12060301507537688,0.1306532663316583,0.09547738693467336,0.11892797319932999,0.09045226130653267,0.06197654941373534,0.07370184254606366,0.10050251256281408,0.038525963149078725,0.05695142378559464,0.7889447236180904,0.7688442211055276,,,,8240.0
101,L,0.051926298157453935,0.05360134003350084,0.07705192629815745,0.06365159128978225,0.10720268006700168,0.09045226130653267,0.12060301507537688,0.08375209380234507,0.1373534338358459,0.08710217755443886,0.09715242881072027,0.10552763819095477,0.09045226130653267,0.1273031825795645,0.09715242881072027,0.09715242881072027,0.09380234505862646,0.07202680067001675,0.07370184254606366,0.07035175879396985,0.07202680067001675,0.07370184254606366,0.8827470686767169,0.8994974874371859,,,,8640.0
102,M,0.08040201005025126,0.07370184254606366,0.07537688442211055,0.09045226130653267,0.11222780569514237,0.08040201005025126,0.10720268006700168,0.11055276381909548,0.09715242881072027,0.11390284757118928,0.10720268006700168,0.09045226130653267,0.11390284757118928,0.08040201005025126,0.09212730318257957,0.09715242881072027,0.09882747068676717,0.11390284757118928,0.07872696817420435,0.06197654941373534,0.06197654941373534,0.031825795644891124,0.916247906197655,0.8492462311557789,,,,8400.0
103,N,0.06197654941373534,0.05025125628140704,0.048576214405360134,0.09380234505862646,0.09380234505862646,0.09380234505862646,0.09212730318257957,0.06365159128978225,0.10217755443886097,0.06532663316582915,0.10050251256281408,0.11892797319932999,0.10385259631490787,0.10887772194304858,0.06197654941373534,0.09547738693467336,0.09715242881072027,0.08375209380234507,0.08040201005025126,0.03350083752093802,0.05527638190954774,0.05862646566164154,0.7353433835845896,0.8710217755443886,,,,8560.0
104,O,0.03685092127303183,0.07537688442211055,0.07202680067001675,0.05360134003350084,0.09045226130653267,0.09212730318257957,0.09380234505862646,0.11390284757118928,0.07705192629815745,0.07202680067001675,0.07872696817420435,0.09882747068676717,0.09547738693467336,0.10385259631490787,0.09380234505862646,0.07705192629815745,0.09715242881072027,0.09715242881072027,0.05360134003350084,0.06197654941373534,0.048576214405360134,0.04187604690117253,0.8107202680067002,0.7822445561139029,,,,7560.0
105,P,0.04187604690117253,0.04690117252931323,0.04355108877721943,0.05527638190954774,0.06700167504187604,0.06197654941373534,0.08040201005025126,0.07872696817420435,0.06365159128978225,0.06365159128978225,0.08207705192629816,0.07035175879396985,0.05360134003350084,0.08207705192629816,0.06365159128978225,0.05527638190954774,0.06030150753768844,0.04355108877721943,0.06030150753768844,0.06030150753768844,0.03350083752093802,0.03350083752093802,0.8324958123953099,0.9112227805695142,,,,7840.0
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.0
107,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280.0
108,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7840.0
