,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
78,P,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7520
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000
80,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600
81,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,7840
82,2,1,H2061372,14.01,17.51,17.41,43.1,42.9,17.8,17.9,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 17:50,,,,,,,,,,,,7280
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6720
84,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280
85,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7640
86,2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8760
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800
88,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,7960
89,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8040
90,A,-0.42234672961602543,-0.32033029704452,-0.28389585684041074,-0.2037400883913709,-0.05071543953411255,-0.1964532003505488,-0.24017452859547994,-0.2474614166363017,-0.2474614166363017,-0.22560075251383613,-0.2037400883913709,-0.09443676777904336,-0.2693220807587671,-0.14544498406479625,-0.16730564818726182,-0.2328876405546582,-0.21831386447301437,-0.3130434090036981,-0.32761718508534177,-0.26203519271794534,-0.25474830467712345,-0.3421909611669854,3.1190808582233798,3.563581028713511,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.3130434090036981
91,B,-0.2474614166363017,-0.16730564818726182,-0.18187942426890533,-0.1964532003505488,-0.21831386447301437,-0.17459253622808357,0.09502232128232403,-0.2328876405546582,-0.05071543953411255,-0.26203519271794534,-0.10172365581986512,-0.1964532003505488,-0.14544498406479625,-0.08714987973822162,-0.1964532003505488,-0.06528921561575605,-0.1381580960239745,-0.13087120798315244,-0.13087120798315244,-0.21831386447301437,-0.26203519271794534,-0.3349040731261635,2.3758182780595543,3.235671066876529,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.35676473724862906
92,C,-0.16730564818726182,-0.18916631230972708,-0.276608968799589,-0.10901054386068718,-0.09443676777904336,-0.10901054386068718,-0.09443676777904336,-0.06528921561575605,-0.18187942426890533,-0.0434285514932908,-0.08714987973822162,-0.0580023275749343,-0.16730564818726182,-0.12358431994233068,-0.028854775411646983,-0.10172365581986512,-0.0580023275749343,-0.152731872105618,-0.21831386447301437,-0.152731872105618,-0.2693220807587671,-0.2911827448812327,2.543416702998456,2.7693102322639325,-1.6392570324332696,-1.6392570324332696,-1.6392570324332696,-0.2328876405546582
