,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
80,B,-0.3330134489011634,-0.3158868456465776,-0.3107304489677776,-0.1252843255552194,-0.30778393657989184,-0.312756176234449,-0.30465326716776325,-0.31607100267082044,-0.2910256473737917,-0.3155185315980919,-0.30281169692533466,-0.29876024239199184,-0.2991285564404775,-0.17150773864017685,-0.24222403594943434,-0.25916648217977734,-0.23025382937364858,-0.012027755645861653,-0.23430528390699146,-0.17132358161593397,-0.27887128377376313,-0.3085205646768633,2.988810954391512,2.5475707243056234,-0.5376119028349788
81,C,-0.32712042412539194,-0.3190175150587062,-0.4482957460771926,-0.285500936646506,-0.281633639137406,-0.30907303574959183,-0.30925719277383473,-0.2904731763010632,-0.277766341628306,-0.27537230031314885,-0.2832910523555917,-0.30520573824049185,-0.3136769613556633,-0.29360384571319176,-0.2639545648100916,-0.21883609387059136,-0.11533984624610509,-0.1943432096462912,-0.203735217882677,-0.1588009039674196,-0.1123933338582194,-0.12823083794310516,2.2984062705050365,2.0739188579529926,-0.5376119028349788
82,D,-0.33964310177390633,-0.30428495311927756,-0.3177284158890062,-0.27887128377376313,-0.29323553166470606,-0.28844744903439173,-0.2965503581010775,-0.25824569705856304,12.487446107813891,-0.2657961350525202,-0.28660587879196314,-0.2937880027374346,-0.32343728364053476,-0.2652436639797916,-0.2814494821131631,-0.27113668875556307,-0.26413872183433446,-0.15069799490073385,-0.19949960632509128,-0.09213606119150498,-0.2766613994828488,-0.12473185448249087,2.570406195311738,2.2569709400503934,-0.5376119028349788
83,E,-0.2772138705555774,-0.29783945727077754,-0.27702971353133454,-0.3164393167193062,-0.3306194075860062,-0.26192883754342017,-0.27113668875556307,-0.26192883754342017,-0.22878057317970568,-0.2611922094464487,-0.27334657304647736,-0.288079134985906,-0.2645070358828202,-0.20410353193116273,-0.1901075980887055,-0.19452736667053408,-0.19692140798569122,-0.25640412681613445,-0.2897365482040918,-0.19066006916143405,-0.43135329984684967,-0.18274131711899116,2.9694744668460116,2.291224146559565,-0.5376119028349788
84,F,-0.3136769613556633,-0.3017067547798775,-0.2654278210040345,-0.2665327631494916,-0.2834752093798346,-0.2483012177494487,-0.2635862507616059,-0.2886316060586346,-0.2692951185131345,-0.25640412681613445,-0.2455388623858058,-0.2199410360160485,-0.22841225913122,-0.20355106085843414,-0.21975687899180565,-0.2227033913796914,-0.4486640601256783,-0.17629582127049112,-0.39489020904676375,-0.4092544569377067,-0.10115975537940503,0.00841367404509554,3.1225089539918267,2.3904847826264652,-0.5376119028349788
85,G,-0.32325312661629196,-0.3155185315980919,-0.2889999201071203,-0.3029958539495775,-0.2630337796888773,-0.2768455565070917,-0.2834752093798346,-0.07556192900964773,-0.2676377052949488,-0.27795049865254884,-0.255667498719163,-0.20612925919783415,-0.17905817663413398,-0.2424081929736772,-0.1742700940038197,-0.30336416799806326,-0.03357412748227605,-0.08219158188239059,-0.11441906112489075,-0.1188388297067194,-0.08016585461571914,-0.15327619324013386,2.9407459710641257,2.3022735680141366,-0.5376119028349788
86,H,-0.32527885388296335,-0.31478190350112045,-0.3180967299374919,-0.2928672176162203,-0.25216851525854866,-0.2676377052949488,-0.2943404738101632,-0.288079134985906,-0.2790554407980059,-0.2873425068889346,-0.22546574674333425,-0.2785029697252774,-0.2503269450161201,-0.2372517962948772,-0.35990037444062073,-0.2376201103433629,-0.2330161847372914,-0.25842985408280583,-0.05143735883383328,0.012649285602681307,-0.08955786285210493,0.001784021172352676,3.070944987203826,2.37980367522038,-0.5376119028349788
87,I,-0.3413005149920921,-0.32454222578599196,-0.2832910523555917,-0.30723146550716324,-0.28568509367074885,-0.2899207052283346,-0.29710282917380604,-0.27555645733739165,-0.307599779555649,-0.2464596475070201,-0.25990311027674873,-0.23099045747062003,-0.22454496162211998,-0.1948956807190198,-0.20391937490691986,-0.14535744119769098,-0.1891868129674912,-0.3210432423253776,-0.13099319330674805,-0.03633648284591897,-0.05548881336717618,-0.2891840771313632,2.8204914342335394,2.1153541884076357,-0.5376119028349788
88,J,-0.33559164724056345,-0.3204907712526491,-0.3098096638465633,-0.2974711432222918,-0.29802361429502033,-0.29765530024653464,-0.32804120924660624,-0.31017797789504903,-0.3486667959618064,-0.26045558134947727,-0.3099938208708061,-0.26911096148889163,-0.2820019531858917,-0.28494846557377745,-0.24056662273124862,-0.2768455565070917,-0.1645097717189482,-0.16690381303410537,-0.21275891207057704,-0.06303925136113338,0.057399442493695815,-0.04885916049443332,2.963949756118726,2.2258484029533503,-0.5376119028349788
89,K,-0.3407480439193635,-0.30465326716776325,-0.2996810275132061,-0.28568509367074885,-0.2825544242586203,-0.29894439941623463,-0.3022592258526061,-0.28679003581620605,-0.3057582093132204,-0.3103621349192919,-0.28586925069499175,-0.2882632920101489,-0.15788011884620534,-0.25990311027674873,-0.06837980506417626,-0.16856122625229109,-0.12491601150673375,-0.206313416222077,-0.09232021821574785,0.029223417784538557,-0.0937934744096907,-0.15530192050680533,2.5083452781418947,2.082205924043921,-0.5376119028349788
90,L,-0.34240545713754916,-0.32675211007690624,-0.31165123408899187,-0.2768455565070917,-0.32233234149507767,-0.30833640765262044,-0.3186492010102205,-0.31257201921020616,-0.31699178779203474,-0.30097012668290607,-0.32233234149507767,-0.288079134985906,-0.2877108209374203,-0.2928672176162203,-0.25916648217977734,-0.2243608045978771,-0.20263027573721984,-0.09526673060363354,-0.07611440008237633,-0.08090248271269061,-0.00816045813676162,-0.046465119179276135,2.4519932287235804,2.16139344446835,-0.5376119028349788
91,M,-0.3503242091799921,-0.315334374573849,-0.3070473084829204,-0.30925719277383473,-0.3098096638465633,-0.2912098043980346,-0.28310689533134886,-0.2888157630828775,-0.28476430854953455,-0.26156052349493447,-0.2709525317313202,-0.2475645896524772,-0.25272098633127726,-0.18495120140990548,-0.22307170542817711,-0.22307170542817711,-0.14664654036739097,-0.16119494528257677,-0.053094772052019,-0.07519361496116199,-0.11552400327034797,-0.08587472236724776,2.6674569470877243,2.1818348741593074,-0.5376119028349788
