,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
88,J,0.015510123289220676,0.01666949440108585,0.017489537382649023,0.018436828413075444,0.018394412396787695,0.018422689740979527,0.016089808845153264,0.017461260038457188,0.014506277570410587,0.02127870150435471,0.017475398710553106,0.020614183915846622,0.019624476869132452,0.019398258115597783,0.02280567809071372,0.02002035968781812,0.02864494966632734,0.02846114692908042,0.02494061757719715,0.03643535799117747,0.04568204954190702,0.03752403574256306,0.2688327112317611,0.21216491347132677,0.0
89,K,0.015114240470535008,0.01788542020133469,0.01826716434792444,0.019341703427214117,0.0195820608528447,0.01832371903630811,0.018069222938581608,0.019256871394638615,0.01780058816875919,0.01744712136636127,0.0193275647551182,0.019143762017871283,0.02915394186178034,0.02132111752064246,0.03602533650039588,0.02833389888021717,0.03168476416694944,0.025435471100554236,0.0341873091279267,0.04351883271123176,0.03407419975115937,0.029351883271123175,0.23385363646646307,0.2011367492365117,0.0
90,L,0.014986992421671756,0.01618877954982468,0.017348150661689855,0.02002035968781812,0.01652810768012668,0.017602646759416356,0.016810881122045016,0.01727745730121027,0.01693812917090827,0.018168193643253026,0.01652810768012668,0.0191579006899672,0.01918617803415903,0.018790295215473363,0.021377672209026127,0.024049881235154395,0.02571824454247257,0.03396109037439204,0.03543151227236738,0.035063906797873544,0.04064868227576066,0.03770783847980998,0.22952720280511255,0.2072163782377559,0.0
91,M,0.014379029521547336,0.01706537721977152,0.017701617464087775,0.017531953398936772,0.017489537382649023,0.018917543264336614,0.01953964483655695,0.01910134600158353,0.0194123967876937,0.02119386947177921,0.020472797194887458,0.022268408551068885,0.021872525732383213,0.02707555706368058,0.02414885193982581,0.02414885193982581,0.030016400859631264,0.02889944576405384,0.037198846284356976,0.035502205632846964,0.03240583644384119,0.03468216265128379,0.24606944915733514,0.20878577084040267,0.0
92,N,0.014421445537835087,0.014760773668137089,0.017489537382649023,0.018224748331636693,0.01802680692229386,0.018394412396787695,0.018196470987444858,0.01846510575726728,0.018436828413075444,0.016810881122045016,0.01931342608302228,0.01997794367153037,0.01862063115032236,0.020288994457640538,0.03042642235041285,0.02246634996041172,0.024912340233005315,0.038230969347358895,0.0199213889831467,0.03748161972627531,0.04479131319986427,0.044324737020699015,0.2755344418052256,0.22313652301775816,0.0
93,O,0.012668250197941409,0.015510123289220676,0.015976699468385928,0.0172209026128266,0.017560230743128607,0.017517814726840854,0.01744712136636127,0.01811163895486936,0.01811163895486936,0.017744033480375523,0.01845096708517136,0.019963804999434454,0.020076914376201786,0.021264562832258794,0.02167458432304038,0.024799230856237982,0.029040832485013008,0.027683519963804998,0.03281585793462278,0.054546996946046825,0.0438016061531501,0.04213324284583192,0.27823492817554574,0.22993722429589414,0.0
94,P,0.01279549824680466,0.013247935753873997,0.014548693586698337,0.015736342042755345,0.01579289673113901,0.016740187761565432,0.016301888926592015,0.016796742449949102,0.016655355728989935,0.016443275647551183,0.017517814726840854,0.017121931908155186,0.018959959280624362,0.018040945594389776,0.02071315462051804,0.021080760095011877,0.021335256192738378,0.02672209026128266,0.026156543377445992,0.04511650265807035,0.04054971157108924,0.04497511593711118,0.26690985182671645,0.2511452324397693,0.0
95,Plate information,,,,,,,,,,,,,,,,,,,,,,,,,
96,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
97,3,1,"""=""""H2060636""""""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,1/6/2023 8:36:48 PM,,,,,,,,,,,,,,
98,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
99,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
100,3,Jez US LUM 384 (cps),0,40,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
101,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,
102,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
103,A,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
104,B,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
105,C,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
106,D,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
107,E,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
108,F,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
109,G,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
110,H,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
111,I,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
112,J,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
113,K,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
114,L,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
115,M,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
116,N,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
117,O,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
118,P,0.62255870907,0.62255870907,,,,,,,,,,,,,,,,,,,,,0.62255870907,0.62255870907,
119,Plate information,,,,,,,,,,,,,,,,,,,,,,,,,
120,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
121,3,1,"""=""""H2060636""""""",14.01,17.61,17.43,52.4,52.4,17.9,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,1/6/2023 8:36:48 PM,,,,,,,,,
122,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
123,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
124,3,Jez US LUM 384 (cps),0,40,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
125,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
126,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
